Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Owner Group,Owner,U Height,Platform,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items
pfSense-fw,Active,,PinapleCorp,,,Firewall,Virtual Firewall,pfSense VM,10.10.2.1/24,1,,,,,,,,,,,,,10.10.2.1/24,,,,,,,,,,,,2026-03-18T02:05:55.538507+00:00,2026-03-18T02:26:55.654507+00:00,,,1,,0,0,0,0,1,0,0,0,0,0
ubuntu-server-01,Active,,PinapleCorp,,,Server,VM Server 2,Ubuntu Server VM,10.10.2.2/24,5,,,,,,,,,,,,,10.10.2.2/24,,,,,,,,,,,,2026-03-18T02:08:12.824507+00:00,2026-03-18T02:29:08.427507+00:00,,,1,,0,0,0,0,1,0,0,0,0,0
win-server-01,Active,,PinapleCorp,,,Server,VM Server,Windows Server VM,10.10.2.3/24,2,,,,,,,,,,,,,10.10.2.3/24,,,,,,,,,,,,2026-03-18T02:06:31.087507+00:00,2026-03-18T02:28:29.389507+00:00,,,1,,0,0,0,0,1,0,0,0,0,0
win10-client-01,Active,,PinapleCorp,,,Workstation,Microsoft VM 1,Windows 10 VM,10.10.2.5/24,3,,,,,,,,,,,,,10.10.2.5/24,,,,,,,,,,,,2026-03-18T02:07:04.047507+00:00,2026-03-18T02:35:44.452507+00:00,,,1,,0,0,0,0,1,0,0,0,0,0
win10-client-02,Active,,PinapleCorp,,,Workstation 2,Microsoft VM 2,Windows 10 VM,10.10.2.4/24,4,,,,,,,,,,,,,10.10.2.4/24,,,,,,,,,,,,2026-03-18T02:07:40.039507+00:00,2026-03-18T02:35:35.093507+00:00,,,1,,0,0,0,0,1,0,0,0,0,0
